#{"t_start": 1582834890.839442, "env_id": "nailbot-v0"}
r,l,t
22.069954,11,1838.554526
31.815321,11,1839.737285
21.472667,11,1840.950166
22.227327,11,1842.170331
37.97358,11,1843.470407
43.318258,11,1844.738509
28.213602,11,1846.013744
14.207404,11,1847.172729
12.191889,11,1848.299506
23.822273,11,1849.544089
18.666386,11,1850.684801
13.531133,11,1851.898515
20.012563,11,1853.142352
19.652256,11,1854.291163
31.436934,11,1855.507385
18.213144,11,1856.90072
27.732574,11,1858.064916
26.891244,11,1859.213962
29.784344,11,1860.296614
40.754906,11,1861.359349
36.815768,11,1862.595482
30.084262,11,1863.85299
29.564917,11,1865.090643
38.685596,11,1866.436197
33.745053,11,1867.703393
15.857864,11,1868.92413
26.237074,11,1870.157625
15.258777,11,1871.353135
16.856667,11,1872.565905
27.31216,11,1873.764879
25.393617,11,1875.006543
52.587979,11,1876.275164
37.054574,11,1877.492957
21.686652,11,1878.496233
23.897785,11,1879.541277
35.056153,11,1880.647403
24.464347,11,1881.744859
15.863009,11,1882.843892
30.028418,11,1884.211854
18.926981,11,1885.426226
32.712809,11,1886.659784
36.201477,11,1887.999446
13.188617,11,1889.200302
35.504096,11,1890.433572
23.476058,11,1891.664394
34.527375,11,1892.891083
38.226036,11,1894.222481
25.329078,11,1895.514086
20.071678,11,1896.649656
31.062485,11,1897.764001
21.429248,11,1898.906914
18.484388,11,1899.926119
21.903059,11,1901.055004
36.407777,11,1902.380922
32.265675,11,1903.654778
25.76057,11,1904.899493
31.889676,11,1906.139687
18.599428,11,1907.313249
18.909384,11,1908.433837
20.522883,11,1909.581345
30.51943,11,1910.809128
30.053373,11,1912.161531
22.319543,11,1913.31545
16.826058,11,1914.389161
18.226434,11,1915.505088
23.881438,11,1916.58666
19.206722,11,1917.758634
29.434349,11,1918.753212
19.263051,11,1919.812893
12.907301,11,1920.753502
19.311539,11,1921.979785
10.679077,11,1923.144591
15.411016,11,1924.293893
12.656832,11,1925.467525
24.897994,11,1926.707863
20.818019,11,1927.849003
30.355138,11,1928.977643
12.988494,11,1930.265759
14.022225,11,1931.293127
31.153581,11,1932.485767
28.333029,11,1933.727399
44.436972,11,1935.139056
23.042516,11,1936.328719
34.185105,11,1937.510865
26.054225,11,1938.724931
29.985118,11,1939.724447
28.648024,11,1940.784513
43.664886,11,1942.100825
19.251287,11,1943.259508
20.204912,11,1944.495682
13.919639,11,1945.739751
21.6244,11,1946.98604
26.113171,11,1948.24008
11.193523,11,1949.457182
14.242518,11,1950.579333
31.170947,11,1951.817376
15.742639,11,1953.009254
13.642244,11,1954.165245
44.17921,11,1955.228083
31.078079,11,1956.428129
32.276579,11,1957.71445
32.399927,11,1958.863624
36.121832,11,1960.054871
20.639916,11,1961.142434
22.652731,11,1962.342479
33.092669,11,1963.625784
31.731945,11,1964.857936
25.841697,11,1966.172448
16.622304,11,1967.565341
17.475492,11,1968.790092
34.524088,11,1970.084388
40.750044,11,1971.338189
22.916131,11,1972.593809
29.985259,11,1973.842844
19.750848,11,1975.134286
21.371543,11,1976.286749
31.51835,11,1977.540969
15.291758,11,1978.738646
26.619638,11,1979.885326
40.851024,11,1981.020355
34.547462,11,1982.282036
20.465156,11,1983.465615
21.237311,11,1984.7119
32.343156,11,1985.886556
51.365912,11,1987.164042
21.757863,11,1988.316334
12.11569,11,1989.451875
11.775461,11,1990.610942
32.942686,11,1991.847334
22.384118,11,1993.117703
43.951078,11,1994.451001
27.59761,11,1995.826382
28.019916,11,1997.012708
22.764258,11,1998.083968
29.721898,11,1999.188128
24.112013,11,2000.302167
28.872803,11,2001.333362
18.704378,11,2002.372813
33.196077,11,2003.610588
35.979208,11,2004.912092
43.909009,11,2006.186995
12.984397,11,2007.41838
24.615184,11,2008.695122
25.892298,11,2009.979904
31.002226,11,2011.208314
30.4957,11,2012.428817
32.181665,11,2013.677301
40.730293,11,2014.984285
30.903952,11,2016.214949
16.186642,11,2017.323269
22.583955,11,2018.357632
19.683375,11,2019.491821
24.807274,11,2020.597938
